contact_id,customer_id,email,first_name,last_name,city,state,create_date,lifecycle_stage,lead_source,num_orders,total_revenue,first_order_date,last_activity_date
HS_000024,4390ddbb6276a66ff1736a6710205dca,carla.souza205@example.com,Carla,Souza,curitiba,PR,2024-10-27,customer,organic_search,1,94.63,2024-10-27,2024-10-27
HS_000025,a5844ba4bfc8d0cc61d13027c7e63bcc,raquel.almeida155@example.com,Raquel,Almeida,sao paulo,SP,2025-11-14,customer,direct,1,80.11,2025-11-28,2025-11-28
HS_000026,5f102dd37243f152aec3607970aad100,sergio.souza193@example.com,Sergio,Souza,santo andre,SP,2025-08-07,customer,paid_search,1,56.78,2025-08-24,2025-08-24
HS_000027,9c0096673baf55453a50073f12d1a37f,joao.pereira700@example.com,Joao,Pereira,goiania,GO,2025-12-28,customer,paid_social,1,62.39,2026-01-26,2026-01-26
HS_000028,2e6a42a9b5cbb0da62988694f18ee295,elena.lima452@example.com,Elena,Lima,sao paulo,SP,2024-11-27,customer,organic_search,1,47.59,2024-11-27,2024-11-27
HS_000029,4d221875624017bc47b4d1ce7314a5b7,daniel.santos490@example.com,Daniel,Santos,cachoeiro de itapemirim,ES,2025-05-25,customer,paid_search,1,69.12,2025-06-08,2025-06-08
HS_000030,a8654e2af5da6bb72f52c22b164855e1,tatiana.silva72@example.com,Tatiana,Silva,sao paulo,SP,2025-11-19,customer,paid_social,1,58.69,2025-12-07,2025-12-07
HS_000031,424aca6872c5bab80780a8dec03b7516,joao.costa578@example.com,Joao,Costa,sao jose dos campos,SP,2025-03-11,customer,paid_search,1,73.34,2025-03-27,2025-03-27
HS_000032,bf4862777db128507e9efcc789215e9b,tatiana.oliveira697@example.com,Tatiana,Oliveira,sao roque,SP,2025-05-28,customer,organic_search,1,62.44,2025-06-10,2025-06-10
HS_000033,e9dd12dca17352644a959d9dea133935,isabela.almeida311@example.com,Isabela,Almeida,camacari,BA,2025-10-03,customer,paid_search,1,67.05,2025-10-31,2025-10-31
HS_000034,e079b18794454de9d2be5c12b4392294,lucas.nascimento156@example.com,Lucas,Nascimento,resende,RJ,2024-12-24,customer,paid_social,1,134.25,2024-12-27,2024-12-27
HS_000035,ef07ba9aa5226f77264ffa5762b2280b,pedro.rodrigues610@example.com,Pedro,Rodrigues,curitiba,PR,2025-09-15,customer,direct,1,45.73,2025-09-24,2025-09-24
HS_000036,85d234692f7bee8d6fea586e237334b6,gabriela.silva192@example.com,Gabriela,Silva,sumare,SP,2025-11-15,customer,organic_search,1,62.06,2025-11-21,2025-11-21
HS_000037,fe3634ccefbcdb0537b45fd589e32e8e,lucas.nascimento920@example.com,Lucas,Nascimento,guarulhos,SP,2025-04-27,customer,paid_social,1,103.55,2025-04-27,2025-04-27
HS_000038,40febde16f4718a5def537786473b0be,nelson.almeida216@example.com,Nelson,Almeida,novo hamburgo,RS,2025-02-13,customer,paid_social,1,60.0,2025-02-22,2025-02-22
HS_000039,07d190f123147d9e89d4b922543d7948,karen.almeida110@example.com,Karen,Almeida,sao luis,MA,2026-01-20,customer,organic_search,1,315.75,2026-01-20,2026-01-20
HS_000040,dd992305cba295d997f263dbdf4e8c2e,nelson.souza998@example.com,Nelson,Souza,sao jose,SC,2025-08-23,customer,organic_search,1,49.09,2025-08-26,2025-08-26
HS_000041,86085586aaa8c5f47ed0b400da64c59d,gabriela.oliveira512@example.com,Gabriela,Oliveira,guarulhos,SP,2026-01-13,customer,organic_search,1,85.81,2026-01-18,2026-01-18
HS_000042,5ad58a4e6a1a656b6bed070cadbaa003,henrique.rodrigues70@example.com,Henrique,Rodrigues,santa barbara,MG,2025-06-18,customer,email,1,96.8,2025-07-02,2025-07-02
HS_000043,c9158d089637ab443c78984d20da7fc0,sergio.rodrigues710@example.com,Sergio,Rodrigues,sao paulo,SP,2025-07-20,customer,paid_social,1,78.7,2025-08-15,2025-08-15
HS_000044,66cc90195ca44cc7ac6a1cd0e1e1e7b2,gabriela.nascimento296@example.com,Gabriela,Nascimento,guarulhos,SP,2025-04-23,customer,paid_social,1,30.4,2025-04-23,2025-04-23
HS_000045,91ec50a00ae74d0a229d2efdf4344e1e,ana.nascimento126@example.com,Ana,Nascimento,ribeirao preto,SP,2025-11-13,customer,direct,1,218.49,2025-11-26,2025-11-26
HS_000046,d251c190ca75786e9ab937982d60d1d4,fabio.oliveira887@example.com,Fabio,Oliveira,belo horizonte,MG,2025-10-12,customer,paid_social,1,50.92,2025-10-31,2025-10-31
HS_000049,8d46223c91cbeb93e0930ca8bd8ffca2,vitor.lima568@example.com,Vitor,Lima,sao jose dos pinhais,PR,2025-05-15,customer,direct,1,171.32,2025-06-10,2025-06-10
HS_000050,e021e698833bdeb89dfef3acb2e91f37,nelson.oliveira89@example.com,Nelson,Oliveira,jaragua do sul,SC,2024-08-02,customer,email,1,239.64,2024-08-10,2024-08-10
HS_000051,27cf4b153010911a0957150255a6c6db,joao.lima916@example.com,Joao,Lima,sao paulo,SP,2025-10-05,customer,organic_search,1,465.4,2025-10-27,2025-10-27
HS_000052,7ce5b57a120a2da6a804afa58ffcbfb5,lucas.nascimento152@example.com,Lucas,Nascimento,montes claros,MG,2025-11-24,customer,organic_search,1,226.72,2025-12-04,2025-12-04
HS_000053,d33eeadf54cb883e79be640f38c32cdc,isabela.souza868@example.com,Isabela,Souza,barrinha,SP,2025-07-31,customer,referral,1,186.27,2025-08-13,2025-08-13
HS_000054,3da7750bf3c1dbd724624a60a9f5942b,tatiana.rodrigues172@example.com,Tatiana,Rodrigues,rio de janeiro,RJ,2025-11-07,customer,email,1,72.26,2025-11-23,2025-11-23
HS_000055,d85547cd859833520b311b4458a14c1c,maria.rodrigues612@example.com,Maria,Rodrigues,parati,RJ,2024-12-10,customer,email,1,809.7,2024-12-22,2024-12-22
HS_000056,3af0b2f7654f613ff1527b997a2ac57e,fabio.oliveira428@example.com,Fabio,Oliveira,dourados,MS,2025-08-15,customer,paid_search,1,36.69,2025-08-18,2025-08-18
HS_000057,3d49f4455a3947c8dd7e972b3ad8cb76,joao.pereira656@example.com,Joao,Pereira,sao paulo,SP,2025-07-31,customer,direct,1,157.12,2025-08-13,2025-08-13
HS_000058,b03e9d9818ee170e9d6b983803c7d406,nelson.nascimento594@example.com,Nelson,Nascimento,trindade,GO,2025-01-02,customer,referral,1,232.22,2025-01-23,2025-01-23
HS_000059,a302a693d5722d95984e6472150b9391,nelson.nascimento421@example.com,Nelson,Nascimento,cascavel,PR,2025-12-04,customer,direct,1,151.6,2025-12-19,2025-12-19
HS_000060,c80da60feddb7cf8325bd104032e314a,fabio.santos808@example.com,Fabio,Santos,fortaleza,CE,2025-10-09,customer,referral,1,77.3,2025-10-11,2025-10-11
HS_000061,a2b8841410cf77619574d311cd06fd5e,tatiana.santos326@example.com,Tatiana,Santos,brasilia,DF,2025-09-14,customer,paid_search,1,304.55,2025-10-09,2025-10-09
HS_000062,7677c213007e9a6ec9267ea50b5ce5bc,elena.silva425@example.com,Elena,Silva,sao paulo,SP,2025-08-05,customer,organic_search,1,18.77,2025-09-04,2025-09-04
HS_000063,0c17f9ac28cbd7323f0f4043e9db5907,maria.costa675@example.com,Maria,Costa,pelotas,RS,2025-11-05,customer,paid_social,1,128.48,2025-11-20,2025-11-20
HS_000064,332cf4e83e16004ba7dca932ce82475b,joao.oliveira928@example.com,Joao,Oliveira,porto alegre,RS,2024-09-28,customer,organic_search,1,146.21,2024-10-15,2024-10-15
HS_000065,0d516ca029d6a28d5cfddd80b27a26dc,carla.almeida580@example.com,Carla,Almeida,rio de janeiro,RJ,2025-05-06,customer,email,1,187.53,2025-06-03,2025-06-03
HS_000066,b3548d0cec408ae13d143bb4eeebaa6c,pedro.souza764@example.com,Pedro,Souza,salto,SP,2025-03-16,customer,email,1,27.68,2025-04-15,2025-04-15
HS_000067,c3293e875ffb1116018edf76d24e52a2,maria.santos63@example.com,Maria,Santos,belo horizonte,MG,2025-05-21,customer,paid_social,1,150.15,2025-06-19,2025-06-19
HS_000068,d89e05e2d23c3d8247aeecd07758004b,isabela.almeida15@example.com,Isabela,Almeida,jundiai,SP,2025-03-02,customer,paid_social,1,46.78,2025-03-26,2025-03-26
HS_000069,dad5018ffc0de85eb72f72575b552784,vitor.silva296@example.com,Vitor,Silva,cachoeiro de itapemirim,ES,2025-03-15,customer,organic_search,1,252.42,2025-03-23,2025-03-23
HS_000070,95700615deef776ed32faa08f0be634e,carla.costa90@example.com,Carla,Costa,cacapava,SP,2026-02-05,customer,referral,1,175.33,2026-02-11,2026-02-11
HS_000072,d4397835ae287e492b186d497099439a,daniel.pereira169@example.com,Daniel,Pereira,sao vicente,SP,2025-09-25,customer,direct,1,55.36,2025-10-03,2025-10-03
HS_000073,76b029c87118a29f2e3de420f5ec2fa2,olivia.pereira458@example.com,Olivia,Pereira,uberlandia,MG,2025-07-04,customer,organic_search,1,372.52,2025-07-12,2025-07-12
HS_000074,7eaa86786b5955ab188db287f4726d79,ana.nascimento634@example.com,Ana,Nascimento,botelhos,MG,2025-04-03,customer,email,1,251.28,2025-04-10,2025-04-10
HS_000075,b436a108536c1dabbc1d3e808d782df9,sergio.nascimento672@example.com,Sergio,Nascimento,sao goncalo,RJ,2025-06-18,customer,paid_search,1,29.0,2025-07-12,2025-07-12
HS_000076,cd076285a12f40041b32f5ad8c98699f,isabela.lima583@example.com,Isabela,Lima,sao paulo,SP,2024-09-22,customer,paid_social,1,61.1,2024-10-05,2024-10-05
HS_000077,cf6d4152d758efc43910e0141ae5b912,raquel.pereira949@example.com,Raquel,Pereira,sao paulo,SP,2026-02-16,customer,direct,1,361.2,2026-03-06,2026-03-06
HS_000078,468d559ef2dcd2bea6d8db78959fb90f,isabela.oliveira586@example.com,Isabela,Oliveira,araucaria,PR,2026-03-08,customer,organic_search,1,39.15,2026-03-09,2026-03-09
HS_000079,7556f182460418cf30957e6ce377c674,isabela.santos2@example.com,Isabela,Santos,sao vicente,SP,2025-08-26,customer,organic_search,1,62.31,2025-09-24,2025-09-24
HS_000081,67d21c8bea9d6017d1b124d3879dd815,raquel.silva589@example.com,Raquel,Silva,sao paulo,SP,2025-09-16,customer,organic_search,1,133.28,2025-10-06,2025-10-06
HS_000082,fd2d5fdb84e65fa6b54b98b0e2df5645,fabio.pereira262@example.com,Fabio,Pereira,areia branca,RN,2024-11-08,customer,paid_social,1,80.57,2024-12-04,2024-12-04
HS_000083,d491a65a6ef3c04e145d37395996bad7,vitor.almeida123@example.com,Vitor,Almeida,sao paulo,SP,2024-09-05,customer,paid_social,1,27.71,2024-09-28,2024-09-28
HS_000084,6edd17d0a29e2d4057e694afee5eaa3b,bruno.souza906@example.com,Bruno,Souza,campos dos goytacazes,RJ,2025-12-20,customer,direct,1,350.19,2025-12-20,2025-12-20
HS_000085,bf6e263ffc1f89999827615522b0aa45,karen.souza738@example.com,Karen,Souza,sao carlos,SP,2025-10-16,customer,email,1,52.26,2025-11-14,2025-11-14
HS_000086,6d3f61e35d0422fd8cae65b1798784be,isabela.oliveira734@example.com,Isabela,Oliveira,sao paulo,SP,2025-04-19,customer,email,1,28.41,2025-05-11,2025-05-11
HS_000087,a9a77b4e25980b7ca58cb71f878abb27,tatiana.almeida787@example.com,Tatiana,Almeida,itajuba,MG,2025-10-05,customer,referral,1,59.78,2025-10-08,2025-10-08
HS_000088,eca666aec08df69fe31aa9a11d4a3302,tatiana.pereira163@example.com,Tatiana,Pereira,porto alegre,RS,2025-12-24,customer,paid_social,1,40.27,2025-12-31,2025-12-31
HS_000089,7a380cb5434e6b6b5b37d45bb99dbe8a,maria.lima131@example.com,Maria,Lima,sao bernardo do campo,SP,2025-11-10,customer,referral,1,247.69,2025-11-28,2025-11-28
HS_000090,463093247faa080167d77f2e6d1b297d,ana.nascimento324@example.com,Ana,Nascimento,salto,SP,2025-09-06,customer,email,1,328.17,2025-10-04,2025-10-04
HS_000091,914b142462685e3161cf3a9f4152a028,olivia.nascimento962@example.com,Olivia,Nascimento,cruz das almas,BA,2026-01-25,customer,organic_search,1,213.47,2026-02-20,2026-02-20
HS_000092,e235442a956c524e6c141141171f5801,nelson.silva220@example.com,Nelson,Silva,vassouras,RJ,2025-11-14,customer,direct,1,137.23,2025-12-13,2025-12-13
HS_000093,4a4de987b37555970ffcc9608d858a72,fabio.souza150@example.com,Fabio,Souza,feira de santana,BA,2025-04-04,customer,organic_search,1,253.05,2025-04-20,2025-04-20
HS_000094,44e9a1246448bd68a2e3bf0f1966c57a,sergio.oliveira799@example.com,Sergio,Oliveira,sao paulo,SP,2025-10-01,customer,organic_search,1,61.38,2025-10-28,2025-10-28
HS_000095,b4d6e1b900d99b52e901860bc1f44e35,pedro.oliveira356@example.com,Pedro,Oliveira,brasilia,DF,2025-12-10,customer,paid_search,1,148.2,2026-01-06,2026-01-06
HS_000096,809353196a0456095716566dd226bb48,bruno.almeida281@example.com,Bruno,Almeida,sao carlos,SP,2025-11-07,customer,referral,1,158.94,2025-11-12,2025-11-12
HS_000097,9e1f719fe5b17b9c51905fee6d6385c1,maria.silva534@example.com,Maria,Silva,sao paulo,SP,2025-10-14,customer,paid_search,1,267.76,2025-10-15,2025-10-15
HS_000098,94b731a41867b47c3856e324840c4c99,maria.silva462@example.com,Maria,Silva,sao paulo,SP,2025-03-09,customer,organic_search,1,22.33,2025-03-11,2025-03-11
HS_000099,694cb45ff29b603ac2acd51016770097,pedro.silva443@example.com,Pedro,Silva,niteroi,RJ,2025-05-23,customer,paid_search,1,61.01,2025-06-19,2025-06-19
HS_000100,9dbb05f5577e862337b93feb8f358839,tatiana.oliveira70@example.com,Tatiana,Oliveira,sao luis,MA,2026-02-04,customer,referral,1,76.15,2026-03-06,2026-03-06
HS_000102,eab761ccdba80c5b9a7f01b16543da0f,karen.oliveira447@example.com,Karen,Oliveira,sao paulo,SP,2025-06-27,customer,paid_search,1,216.62,2025-07-11,2025-07-11
HS_000103,4071d48a2d0d0bf179c06fc42b962e1f,olivia.costa723@example.com,Olivia,Costa,jaragua do sul,SC,2025-06-27,customer,organic_search,1,75.67,2025-06-29,2025-06-29
HS_000104,90d479448b39ad9586d05da64cfb695b,pedro.nascimento89@example.com,Pedro,Nascimento,sobral,CE,2024-10-05,customer,direct,1,163.46,2024-10-10,2024-10-10
HS_000105,7b24d0e6584ac5a21ec1256d96965500,tatiana.oliveira113@example.com,Tatiana,Oliveira,divinopolis,MG,2025-01-27,customer,paid_social,1,109.29,2025-02-19,2025-02-19
HS_000106,7981196c7252350915beb9a7367d40b2,karen.souza354@example.com,Karen,Souza,mogi das cruzes,SP,2025-09-19,customer,referral,1,346.21,2025-10-09,2025-10-09
HS_000107,9d0ac1cdbfc919d676e2c2377abb32c1,gabriela.rodrigues780@example.com,Gabriela,Rodrigues,brasilia,DF,2025-11-10,customer,paid_social,1,69.97,2025-11-13,2025-11-13
HS_000108,b1a049b952fdc19b69b2865c29986b9c,ana.lima993@example.com,Ana,Lima,sao paulo,SP,2025-12-14,customer,paid_search,1,50.76,2026-01-12,2026-01-12
HS_000109,1f6d48610f32c723924f9af3e88f1c64,tatiana.pereira624@example.com,Tatiana,Pereira,sao paulo,SP,2025-04-05,customer,paid_search,1,51.63,2025-04-05,2025-04-05
HS_000110,fa7e6f153b7724fda5c1d7cc7b9ae4ec,pedro.pereira3@example.com,Pedro,Pereira,paraiba do sul,RJ,2025-01-04,customer,paid_search,1,256.33,2025-01-28,2025-01-28
HS_000111,8728c766c84eeda24b3e54fe6e632051,isabela.souza513@example.com,Isabela,Souza,paulista,PE,2024-11-28,customer,referral,1,144.26,2024-12-11,2024-12-11
HS_000112,4bc7250d4b42b3374eb6f41b12429592,lucas.lima168@example.com,Lucas,Lima,sao paulo,SP,2024-08-13,customer,email,1,251.28,2024-08-21,2024-08-21
HS_000113,29f61e71b90b55a988f45a66bb91bfb7,ana.nascimento822@example.com,Ana,Nascimento,carapicuiba,SP,2025-03-04,customer,organic_search,1,36.78,2025-03-28,2025-03-28
HS_000115,9553802042571deac62d5789ed18a241,pedro.silva613@example.com,Pedro,Silva,bom principio,RS,2025-09-09,customer,paid_search,1,67.22,2025-09-10,2025-09-10
HS_000116,37e1a83b513512531032b4a9c43bab5d,fabio.santos178@example.com,Fabio,Santos,sao paulo,SP,2025-12-13,customer,paid_social,1,142.78,2025-12-16,2025-12-16
HS_000117,60f874c577dc096ecd52bd0bf6bd5942,nelson.almeida964@example.com,Nelson,Almeida,astolfo dutra,MG,2025-10-10,customer,paid_search,1,95.4,2025-10-30,2025-10-30
HS_000118,eabd76f3506262b0db0dda1d48394a9b,pedro.lima952@example.com,Pedro,Lima,curitiba,PR,2025-02-16,customer,paid_search,1,164.26,2025-02-23,2025-02-23
HS_000119,93bf5d4e752358fa9ea738ebf793cb79,lucas.pereira730@example.com,Lucas,Pereira,belo horizonte,MG,2024-12-01,customer,organic_search,1,24.09,2024-12-03,2024-12-03
HS_000120,24a5c2b24a4467c37e2f54c1b311de93,bruno.lima623@example.com,Bruno,Lima,marialva,PR,2024-07-26,customer,paid_search,1,200.36,2024-08-23,2024-08-23
HS_000121,54fccbde5e005f2dbc6ad8d5473c9ac7,sergio.almeida73@example.com,Sergio,Almeida,sao paulo,SP,2025-12-02,customer,referral,1,21.38,2025-12-12,2025-12-12
HS_000122,1bdff446efb5846d0969eaf8978d4342,carla.nascimento928@example.com,Carla,Nascimento,sao jose do rio preto,SP,2025-01-14,customer,referral,1,196.66,2025-02-13,2025-02-13
HS_000123,52e57dd9218d99ea21b26f00c9151761,maria.rodrigues672@example.com,Maria,Rodrigues,cabo frio,RJ,2025-11-21,customer,referral,1,54.22,2025-11-21,2025-11-21
HS_000124,d04c37e1699d05ba4f5fe7cf2bffc97a,raquel.pereira105@example.com,Raquel,Pereira,contagem,MG,2025-12-24,customer,paid_social,1,48.27,2025-12-24,2025-12-24
HS_000125,82e96a74eeb99b61395a1403630fe437,gabriela.oliveira388@example.com,Gabriela,Oliveira,uberlandia,MG,2025-12-12,customer,direct,1,72.34,2025-12-12,2025-12-12
HS_000126,7b3b8cf6cef1b5fb3f47348a33cd6d42,gabriela.pereira94@example.com,Gabriela,Pereira,cafeara,PR,2025-11-25,customer,referral,1,103.14,2025-12-14,2025-12-14
HS_000127,f32cdbbeca0aba5358bddc018dd12b09,vitor.costa272@example.com,Vitor,Costa,porto alegre,RS,2025-10-11,customer,organic_search,1,165.83,2025-10-29,2025-10-29
HS_000128,2e61eefc516ee26837d29fd3d76530fa,ana.santos446@example.com,Ana,Santos,sao joaquim da barra,SP,2025-11-19,customer,email,1,122.02,2025-12-09,2025-12-09
HS_000129,ca19a17e381182923b66007a351574b7,bruno.costa773@example.com,Bruno,Costa,foz do iguacu,PR,2024-11-11,customer,organic_search,1,47.74,2024-11-27,2024-11-27
HS_000130,96b1c916f245f2462efcde3fce04bc3e,isabela.nascimento699@example.com,Isabela,Nascimento,belo horizonte,MG,2024-08-02,customer,paid_social,1,185.61,2024-08-28,2024-08-28
HS_000131,5ece49e012285b9003d084a4ea8a9c94,daniel.lima315@example.com,Daniel,Lima,sao bernardo do campo,SP,2024-11-17,customer,paid_social,1,261.76,2024-11-18,2024-11-18
HS_000132,5d348bbc0f1a5cc45c3e4b93b8c9f802,maria.almeida189@example.com,Maria,Almeida,sao goncalo,RJ,2024-12-27,customer,organic_search,1,62.07,2025-01-06,2025-01-06
HS_000133,b6c083700ca8c135ba9f0f132930d4e8,maria.oliveira853@example.com,Maria,Oliveira,suzano,SP,2025-02-23,customer,paid_social,1,97.71,2025-03-20,2025-03-20
HS_000135,f34cd7fd85a1f8baff886edf09567be3,henrique.almeida946@example.com,Henrique,Almeida,timbo,SC,2025-02-10,customer,paid_search,1,214.32,2025-03-06,2025-03-06
HS_000136,67626c49069bdf05ff127d59a6649948,maria.costa447@example.com,Maria,Costa,camboriu,SC,2025-06-14,customer,paid_social,1,43.09,2025-06-23,2025-06-23
HS_000137,56636fd22de1a315b8a50d45cf94d859,bruno.santos986@example.com,Bruno,Santos,nova bassano,RS,2025-02-14,customer,organic_search,1,33.59,2025-03-11,2025-03-11
HS_000138,34c6f984b590bbfe3d4d6c76007c0b1c,bruno.almeida56@example.com,Bruno,Almeida,rio grande,RS,2025-05-14,customer,referral,1,175.88,2025-06-12,2025-06-12
HS_000139,9bbfdf9f7f65b58481e1ed110a2eed46,fabio.rodrigues995@example.com,Fabio,Rodrigues,brasilia,DF,2025-08-17,customer,paid_social,1,122.5,2025-08-23,2025-08-23
HS_000140,0567f279c243671842613f581ed3462c,pedro.rodrigues745@example.com,Pedro,Rodrigues,braganca paulista,SP,2025-04-01,customer,email,1,99.43,2025-04-11,2025-04-11
HS_000141,30a7c7292c38ac22477fcb75306ac4ef,lucas.oliveira560@example.com,Lucas,Oliveira,barra do garcas,MT,2025-09-28,customer,paid_search,1,100.26,2025-10-23,2025-10-23
HS_000142,ba66b6edd0756a62cb11be4d4655ed32,maria.almeida737@example.com,Maria,Almeida,sao paulo,SP,2025-10-08,customer,referral,1,248.4,2025-10-25,2025-10-25
HS_000143,91e6fd64694fa9a828270d442ba88e03,elena.almeida686@example.com,Elena,Almeida,embu,SP,2025-01-15,customer,paid_social,1,57.68,2025-02-13,2025-02-13
HS_000144,87edab6661956d4d2f05e205251cf1a4,karen.pereira395@example.com,Karen,Pereira,sao bernardo do campo,SP,2026-02-22,customer,paid_social,1,94.77,2026-02-22,2026-02-22
HS_000145,1d4626b197f66aa6129c135ab09f1a7b,tatiana.pereira314@example.com,Tatiana,Pereira,brasilia,DF,2024-08-12,customer,email,1,679.43,2024-08-28,2024-08-28
HS_000146,bb50112c998293f45f49f49704165768,ana.silva300@example.com,Ana,Silva,urussanga,SC,2024-11-22,customer,organic_search,1,34.0,2024-12-05,2024-12-05
HS_000147,113bdaf5255ce5a458057ebf9975befb,elena.lima720@example.com,Elena,Lima,silvianopolis,MG,2025-07-10,customer,direct,1,35.4,2025-07-17,2025-07-17
HS_000148,7aeb8dc11cd50c32f37fea0435c4e9b1,isabela.lima907@example.com,Isabela,Lima,sao paulo,SP,2026-02-18,customer,organic_search,1,35.65,2026-03-07,2026-03-07
HS_000149,b778de6d690edae39654f4444e081771,tatiana.pereira474@example.com,Tatiana,Pereira,gameleiras,MG,2025-08-24,customer,direct,1,273.58,2025-09-04,2025-09-04
HS_000150,ef6b4c0581dbf34e6eb5e33e0094c445,isabela.santos858@example.com,Isabela,Santos,belem,PA,2025-11-20,customer,organic_search,1,60.39,2025-11-20,2025-11-20
HS_000151,8dfb24fac32ec7170821d2be63fa9c1c,bruno.pereira602@example.com,Bruno,Pereira,pocos de caldas,MG,2025-02-14,customer,organic_search,1,17.85,2025-03-16,2025-03-16
HS_000152,be1e99a0c57d7c3c699cfc4db26c8edf,vitor.lima974@example.com,Vitor,Lima,contagem,MG,2026-01-30,customer,paid_search,1,40.27,2026-02-12,2026-02-12
HS_000153,337691bc9242e1d53d521ed78a12ab8d,carla.souza654@example.com,Carla,Souza,santos,SP,2026-01-25,customer,paid_social,1,123.26,2026-02-14,2026-02-14
HS_000154,05aa2ef3623cdba9ca3e83b91f1eee5c,bruno.silva443@example.com,Bruno,Silva,piracaia,SP,2025-01-02,customer,email,1,103.55,2025-01-19,2025-01-19
